timestamp,status,error,device,gpu,python_version,torch_version,cuda_version,model,mode,precision,tf32,batch_size,audio_len,text_len,dim,heads,head_dim,kernel_size,warmup,repeat,runs,params_m,trainable_params_m,param_memory_mib,estimated_macs_g_per_sample,estimated_flops_g_per_sample,latency_mean_ms,latency_std_ms,latency_p50_ms,latency_p95_ms,throughput_samples_s,peak_allocated_mib,incremental_peak_allocated_mib,peak_reserved_mib,output_shape
2026-08-09T13:34:16,OK,,cuda,NVIDIA GeForce RTX 5080,3.10.19,2.8.0+cu128,12.8,explicit_standard,train,fp16,True,1,256,128,768,8,96,4,20,50,5,5.908992,5.908992,22.541,1.233125,2.466251,3.392987,0.038097,3.166464,4.747957,294.7256,133.332,24.292,174.0,"(1, 384, 768)"
2026-08-09T13:34:22,OK,,cuda,NVIDIA GeForce RTX 5080,3.10.19,2.8.0+cu128,12.8,sdpa,train,fp16,True,1,256,128,768,8,96,4,20,50,5,5.908992,5.908992,22.541,1.233125,2.466251,2.859598,0.137147,2.72624,3.970032,349.6995,133.332,24.292,170.0,"(1, 384, 768)"
2026-08-09T13:34:28,OK,,cuda,NVIDIA GeForce RTX 5080,3.10.19,2.8.0+cu128,12.8,linear,train,fp16,True,1,256,128,768,8,96,4,20,50,5,4.724736,4.724736,18.0234,0.962593,1.925186,3.589003,0.057083,3.434128,4.946963,278.6289,110.1816,19.2119,130.0,"(1, 384, 768)"
2026-08-09T13:34:36,OK,,cuda,NVIDIA GeForce RTX 5080,3.10.19,2.8.0+cu128,12.8,cross_mila,train,fp16,True,1,256,128,768,8,96,4,20,50,5,8.275968,8.275968,31.5703,1.64325,3.286499,5.443599,0.242619,5.187152,7.543176,183.702,177.6035,32.6963,214.0,"(1, 384, 768)"
2026-08-09T13:34:42,OK,,cuda,NVIDIA GeForce RTX 5080,3.10.19,2.8.0+cu128,12.8,explicit_standard,train,fp16,True,1,512,128,768,8,96,4,20,50,5,5.908992,5.908992,22.541,2.088763,4.177527,3.420017,0.102118,3.242592,4.77688,292.3962,134.457,24.417,174.0,"(1, 640, 768)"
2026-08-09T13:34:48,OK,,cuda,NVIDIA GeForce RTX 5080,3.10.19,2.8.0+cu128,12.8,sdpa,train,fp16,True,1,512,128,768,8,96,4,20,50,5,5.908992,5.908992,22.541,2.088763,4.177527,3.122975,0.139394,2.884912,4.26443,320.2075,134.207,24.417,172.0,"(1, 640, 768)"
2026-08-09T13:34:54,OK,,cuda,NVIDIA GeForce RTX 5080,3.10.19,2.8.0+cu128,12.8,linear,train,fp16,True,1,512,128,768,8,96,4,20,50,5,4.724736,4.724736,18.0234,1.604321,3.208643,3.690353,0.156376,3.38272,5.154266,270.9768,110.3066,18.9619,136.0,"(1, 640, 768)"
2026-08-09T13:35:02,OK,,cuda,NVIDIA GeForce RTX 5080,3.10.19,2.8.0+cu128,12.8,cross_mila,train,fp16,True,1,512,128,768,8,96,4,20,50,5,8.275968,8.275968,31.5703,2.738749,5.477499,5.032476,0.045052,4.815072,6.888237,198.7094,180.1035,33.4463,218.0,"(1, 640, 768)"
2026-08-09T13:35:08,OK,,cuda,NVIDIA GeForce RTX 5080,3.10.19,2.8.0+cu128,12.8,explicit_standard,train,fp16,True,1,1024,128,768,8,96,4,20,50,5,5.908992,5.908992,22.541,3.800039,7.600079,3.596393,0.493594,3.18208,5.024253,278.0564,141.52,28.98,164.0,"(1, 1152, 768)"
2026-08-09T13:35:14,OK,,cuda,NVIDIA GeForce RTX 5080,3.10.19,2.8.0+cu128,12.8,sdpa,train,fp16,True,1,1024,128,768,8,96,4,20,50,5,5.908992,5.908992,22.541,3.800039,7.600079,2.829768,0.122179,2.654992,3.848523,353.3858,139.707,25.917,164.0,"(1, 1152, 768)"
2026-08-09T13:35:19,OK,,cuda,NVIDIA GeForce RTX 5080,3.10.19,2.8.0+cu128,12.8,linear,train,fp16,True,1,1024,128,768,8,96,4,20,50,5,4.724736,4.724736,18.0234,2.887778,5.775557,3.693142,0.223258,3.399456,5.151893,270.7721,114.7495,20.9048,146.0,"(1, 1152, 768)"
2026-08-09T13:35:28,OK,,cuda,NVIDIA GeForce RTX 5080,3.10.19,2.8.0+cu128,12.8,cross_mila,train,fp16,True,1,1024,128,768,8,96,4,20,50,5,8.275968,8.275968,31.5703,4.929749,9.859498,5.124604,0.106362,4.864224,7.088234,195.137,183.73,34.9463,218.0,"(1, 1152, 768)"
2026-08-09T13:35:34,OK,,cuda,NVIDIA GeForce RTX 5080,3.10.19,2.8.0+cu128,12.8,explicit_standard,train,fp16,True,1,2048,128,768,8,96,4,20,50,5,5.908992,5.908992,22.541,7.222591,14.445183,3.314735,0.168299,3.060992,4.671062,301.6832,188.3921,71.8521,224.0,"(1, 2176, 768)"
2026-08-09T13:35:39,OK,,cuda,NVIDIA GeForce RTX 5080,3.10.19,2.8.0+cu128,12.8,sdpa,train,fp16,True,1,2048,128,768,8,96,4,20,50,5,5.908992,5.908992,22.541,7.222591,14.445183,3.30692,0.135192,3.050864,4.240885,302.3962,163.6606,45.2456,198.0,"(1, 2176, 768)"
2026-08-09T13:35:45,OK,,cuda,NVIDIA GeForce RTX 5080,3.10.19,2.8.0+cu128,12.8,linear,train,fp16,True,1,2048,128,768,8,96,4,20,50,5,4.724736,4.724736,18.0234,5.454692,10.909385,3.634917,0.169637,3.43184,4.904771,275.1094,148.4526,52.1079,182.0,"(1, 2176, 768)"
2026-08-09T13:35:53,OK,,cuda,NVIDIA GeForce RTX 5080,3.10.19,2.8.0+cu128,12.8,cross_mila,train,fp16,True,1,2048,128,768,8,96,4,20,50,5,8.275968,8.275968,31.5703,9.311748,18.623496,5.077369,0.107819,4.838064,7.028864,196.9524,213.7939,59.3867,266.0,"(1, 2176, 768)"
