dataset,fold,model,WA,UA,Macro-F1,Weighted-F1
IEMOCAP,1,Reproduced MemoCMT,66.36,69.59,67.40,65.80
IEMOCAP,1,Cross-MILA,72.17,73.03,72.90,72.14
IEMOCAP,2,Reproduced MemoCMT,72.63,73.44,73.66,72.67
IEMOCAP,2,Cross-MILA,77.71,78.67,79.08,77.69
IEMOCAP,3,Reproduced MemoCMT,69.24,69.33,69.77,69.46
IEMOCAP,3,Cross-MILA,72.28,71.61,72.37,72.42
IEMOCAP,4,Reproduced MemoCMT,73.33,72.77,73.38,73.30
IEMOCAP,4,Cross-MILA,76.33,74.78,75.33,75.87
IEMOCAP,5,Reproduced MemoCMT,66.24,69.34,66.95,66.18
IEMOCAP,5,Cross-MILA,73.97,75.92,74.81,74.13

