dataset,fold,model,WA,UA,Macro-F1,Weighted-F1
IEMOCAP,1,HuBERT-only,69.31,71.65,70.02,69.09
IEMOCAP,2,HuBERT-only,69.27,71.39,69.58,69.02
IEMOCAP,3,HuBERT-only,69.89,71.87,70.58,69.44
IEMOCAP,4,HuBERT-only,70.78,72.05,71.02,70.18
IEMOCAP,5,HuBERT-only,70.01,71.96,70.59,69.97
IEMOCAP,1,BERT-only,64.70,66.24,65.21,64.25
IEMOCAP,2,BERT-only,64.93,66.72,65.44,64.76
IEMOCAP,3,BERT-only,64.10,65.84,64.91,64.13
IEMOCAP,4,BERT-only,65.10,67.32,65.81,65.28
IEMOCAP,5,BERT-only,64.25,66.12,65.15,64.02
ESD,1,HuBERT-only,77.94,77.93,77.85,77.85
ESD,2,HuBERT-only,78.24,78.24,78.64,78.64
ESD,3,HuBERT-only,77.72,77.72,77.54,77.55
ESD,4,HuBERT-only,78.02,78.03,77.98,77.99
ESD,5,HuBERT-only,78.08,78.07,78.01,78.02
ESD,1,BERT-only,19.98,19.97,10.14,10.14
ESD,2,BERT-only,19.99,19.98,10.13,10.13
ESD,3,BERT-only,20.01,19.98,10.15,10.15
ESD,4,BERT-only,19.98,19.97,10.13,10.13
ESD,5,BERT-only,19.97,19.97,10.14,10.14

